scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
rajada-curta/media	g3-wrk	16	32.949300	0.000600	0.001000	0.002900	0.026767	0.011160	1.820980	1820979.504876	11.381122	71.132012	0.898939	1.192459
rajada-curta/media	g4-park	16	18.415000	0.000500	0.000800	0.002200	0.058700	0.013950	3.258213	3258213.412979	10.281184	64.257397	1.608439	2.133625
rajada-curta/media	all	16	18.234300	0.000400	0.000800	0.002100	0.077700	0.008640	3.290502	3290501.966075	10.282819	64.267617	1.624378	2.154769
rajada-curta/media	final	16	10.448700	0.000400	0.001200	0.002200	0.062967	0.013470	5.742341	5742341.152488	13.458612	84.116325	2.834745	3.760343
rajada-curta/media	TBB	16	29.619400	0.001600	0.006400	0.015300	0.055933	0.035730	2.025699	2025699.372708	16.784832	104.905199	1.000000	1.326519
rajada-curta/media	WinTP	16	39.290700	0.013800	0.026700	0.060400	0.066233	0.066640	1.527079	1527078.927074	2.857863	17.861645	0.753853	1.000000
rajada-mista/media	oficial	16	110.671900	20.093400	81.821500	85.054400	91.746433	85.350700	0.542143	542143.037212	15.530139	97.063369	1.031270	1.032746
rajada-mista/media	g1-ring	16	110.277000	22.365000	69.075600	69.374100	78.910500	69.557290	0.544084	544084.441905	15.547364	97.171025	1.034963	1.036445
rajada-mista/media	g2-sub	16	110.673000	9.330800	107.430800	108.368000	99.370867	108.467060	0.542138	542137.648749	16.329532	102.059574	1.031260	1.032736
rajada-mista/media	g3-wrk	16	110.757000	25.026400	87.663100	90.717200	93.278200	91.002750	0.541726	541726.482299	15.659281	97.870507	1.030478	1.031953
rajada-mista/media	g4-park	16	110.434900	27.267600	87.884000	91.346600	94.608867	91.694810	0.543307	543306.509084	15.704954	98.155961	1.033483	1.034963
rajada-mista/media	all	16	110.884700	9.730300	104.638300	105.567600	110.245567	108.041700	0.541103	541102.604778	15.742959	98.393492	1.029291	1.030764
rajada-mista/media	final	16	113.140600	23.728900	80.040100	84.431800	91.936267	86.242580	0.530314	530313.609792	14.915070	93.219189	1.008768	1.010212
rajada-mista/media	TBB	16	114.132600	46.961900	93.793300	95.120400	95.197700	95.157200	0.525704	525704.312352	14.785434	92.408961	1.000000	1.001432
rajada-mista/media	WinTP	16	114.296000	45.094600	88.164700	88.946700	94.769200	89.037180	0.524953	524952.754252	15.001185	93.757404	0.998570	1.000000
mista-massiva/alta	oficial	16	300.725900	25.768500	73.720700	88.019400	94.388333	89.585210	0.598552	598551.704393	15.482673	96.766706	1.014588	1.029837
mista-massiva/alta	g1-ring	16	301.068700	24.988000	74.451200	88.360900	101.017067	90.264880	0.597870	597870.187103	15.673333	97.958331	1.013432	1.028665
mista-massiva/alta	g2-sub	16	306.671400	7.463800	159.806700	162.340000	172.968333	162.626350	0.586947	586947.462333	14.928438	93.302738	0.994918	1.009872
mista-massiva/alta	g3-wrk	16	300.168400	24.714400	74.515900	88.024400	104.434000	89.581950	0.599663	599663.388951	15.950474	99.690464	1.016472	1.031750
mista-massiva/alta	g4-park	16	298.755000	18.092500	88.197000	106.583700	119.176767	107.501120	0.602500	602500.376563	15.717772	98.236072	1.021281	1.036631
mista-massiva/alta	all	16	305.154600	10.685600	93.232500	95.817600	126.459700	104.697990	0.589865	589864.940591	15.207455	95.046597	0.999863	1.014891
mista-massiva/alta	final	16	291.570700	12.124100	61.485300	66.709000	85.022267	69.203190	0.617346	617345.981609	15.165704	94.785651	1.046445	1.062174
mista-massiva/alta	TBB	16	305.112800	121.617100	242.591200	244.886500	246.294133	244.989620	0.589946	589945.751211	15.260749	95.379684	1.000000	1.015031
mista-massiva/alta	WinTP	16	309.698800	116.603800	208.824400	210.638200	209.061267	210.857110	0.581210	581209.872302	15.732764	98.329778	0.985192	1.000000
mista-massiva/ultra	oficial	16	458.406600	18.169500	107.069200	138.066000	142.021033	141.445610	0.523553	523552.671362	15.747483	98.421767	1.048888	1.004712
mista-massiva/ultra	g1-ring	16	482.701200	27.522900	80.729300	103.675700	101.960633	106.491780	0.497202	497201.995769	15.780091	98.625567	0.996097	0.954144
mista-massiva/ultra	g2-sub	16	467.796600	8.268600	298.585000	302.549900	329.600533	302.974190	0.513043	513043.489414	15.916609	99.478806	1.027834	0.984545
mista-massiva/ultra	g3-wrk	16	471.419000	27.455700	88.953700	103.985100	113.600400	106.719210	0.509101	509101.245389	15.703881	98.149258	1.019936	0.976979
mista-massiva/ultra	g4-park	16	466.304700	30.777200	81.385500	104.931600	105.886700	107.517200	0.514685	514684.925972	15.729914	98.311960	1.031122	0.987695
mista-massiva/ultra	all	16	473.029100	11.145000	161.360200	206.464800	189.017000	213.339010	0.507368	507368.362750	15.841006	99.006286	1.016464	0.973654
